"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"140","8820022301","Whitenose Pipefish",3,12.6666666666667,1,NA,NA,3,NA,0,-1,-1,-2
"141","8820022305","Shortfin Pipefish",1,NA,NA,NA,NA,NA,NA,0,-1,-1,-2
"142","8820023901","Fringed Pipefish",446,210.5,326,104,28,521.5,NA,0,-1,-2,-2
"143","8826010605","Barbfish",137.5,NA,809,251,235,267.5,3.76,0,-1,-1,-2
"144","8826010606","Smoothhead Scorpionfish",NA,NA,NA,1,NA,NA,NA,0,-1,-1,-2
"145","8826010614","Spotted Scorpionfish",1,NA,NA,NA,NA,NA,3.545,0,-1,-2,-2
"146","8826020103","Leopard Searobin",304,5,15579.6666666667,16791.85,50.5,10995.8333333333,3.39,0,-1,-1,-2
"147","8826020104","Bighead Searobin",89.5,NA,3191.66666666667,2454.16666666667,152.5,5552.16666666667,NA,0,-1,-1,-2
"148","8826020105","Spiny Searobin",NA,NA,NA,NA,NA,1,3.5,0,-1,-1,-2
"149","8826020111","Barred Searobin",1,NA,NA,NA,NA,505.75,NA,0,-1,-1,-2
"150","8826020118","Blackfin Searobin",NA,NA,27,1,NA,99,NA,0,-1,-1,-2
"151","8826020123","Bigeye Searobin",1,NA,NA,NA,NA,143.166666666667,NA,0,-1,-1,-1
"152","8832010101","Flying Gurnard",NA,NA,1,NA,NA,NA,3.65,0,-1,-5,-4
"153","8835010105","Common Snook",NA,124.5,11373.419047619,16466.8309385059,344.5,322.166666666667,4.16666666666667,0,-2,-3,-4
"154","8835020301","Black Sea Bass",6983.33333333333,NA,800.166666666667,1427.89285714286,306,10120.4,3.77166666666667,0,-1,-3,-2
"155","8835020304","Bank Sea Bass",NA,NA,NA,NA,NA,5,NA,0,-1,-2,-2
"156","8835020305","Rock Sea Bass",17.5,NA,NA,NA,1,165,NA,0,-1,-2,-2
"157","8835020401","Goliath Grouper",NA,NA,96,24,NA,NA,3.93,0,-2,-2,-4
"158","8835020408","Red Grouper",13,NA,167.5,30,3,11,3.57,0,-1,-1,-2
"159","8835020501","Gag",151,NA,2428.33333333333,1280.41666666667,126.233333333333,1125.08333333333,3.65,0,-1,-2,-2
"160","8835020502","Black Grouper",NA,NA,4,1,NA,NA,4.365,0,-1,-2,-2
"161","8835020505","Scamp",NA,NA,NA,NA,NA,1,4.47,0,-1,-2,-2
"162","8835021002","Sand Perch",283.5,NA,1114.5,346.833333333333,23,869.666666666667,4.045,0,-1,-2,-2
"163","8835021005","Dwarf Sand Perch",3,NA,NA,NA,NA,335.5,NA,0,-1,-1,-2
